,assisted_housing_count,active_finance,gun incident count,% of adults < high school dip,avg unemploy rate 2015_2020,clusters,cluster
2297,1,0,3,10.9,4.8,1,purple
2298,1,0,5,8.1,8.649999999999999,1,purple
2299,135,80,2550,11.7,5.05,0,pink
2300,3,1,11,9.1,3.7,1,purple
2301,4,1,4,9.6,4.316666666666667,1,purple
2302,9,6,7,6.9,4.866666666666667,1,purple
2303,6,2,37,5.9,3.6,1,purple
2304,7,3,7,3.2,3.383333333333334,1,purple
2305,6,1,9,4.9,4.083333333333333,1,purple
2306,11,5,4,6.2,4.616666666666666,1,purple
2307,6,1,17,6.1,3.8166666666666655,1,purple
2308,4,3,1,8.2,4.5,1,purple
2309,24,8,226,9.5,4.866666666666667,1,purple
2310,2,1,5,9.9,3.6,1,purple
2311,13,5,143,9.2,4.533333333333332,1,purple
2312,7,2,3,12.0,5.016666666666667,1,purple
2313,8,5,16,3.8,3.983333333333333,1,purple
2314,4,2,24,9.1,3.9,1,purple
2315,3,0,13,7.7,5.866666666666666,1,purple
2316,3,2,25,8.6,4.1000000000000005,1,purple
2317,11,3,28,6.8,3.45,1,purple
2318,6,2,4,11.6,3.9,1,purple
2319,1,0,6,9.3,3.966666666666667,1,purple
2320,7,1,5,10.6,3.6666666666666665,1,purple
2321,3,1,2,6.3,5.333333333333333,1,purple
2322,9,3,15,9.2,4.0,1,purple
2323,3,1,4,7.8,4.800000000000001,1,purple
2324,8,1,28,5.1,3.4666666666666663,1,purple
2325,21,9,59,3.8,3.533333333333333,1,purple
2326,5,1,10,8.2,3.883333333333333,1,purple
2327,3,0,5,13.2,4.783333333333333,1,purple
2328,25,7,62,7.1,3.633333333333333,1,purple
2329,14,5,62,7.3,4.6,1,purple
2330,4,3,5,4.1,3.283333333333333,1,purple
2331,3,2,13,7.1,5.150000000000001,1,purple
2332,2,2,4,9.0,4.033333333333333,1,purple
2333,6,2,8,9.2,4.516666666666667,1,purple
2334,4,1,15,7.9,5.716666666666666,1,purple
2335,4,1,2,7.9,3.516666666666667,1,purple
2336,10,8,68,7.0,4.066666666666666,1,purple
2337,10,6,322,7.5,5.633333333333333,1,purple
2338,1,1,1,12.9,3.083333333333333,1,purple
2339,2,1,15,4.5,4.566666666666666,1,purple
2340,6,3,7,4.7,4.233333333333333,1,purple
2341,3,3,3,7.2,5.166666666666667,1,purple
2342,2,2,3,7.3,5.0,1,purple
2343,2,0,3,10.2,4.433333333333333,1,purple
